title,size,color,rating,review_text
Love These Boots!,8.5 Wide,Black2,5.0,"I love the look and the quality of these boots!
Although I am an almost size 8, they run small on me when I got size 8 (the toes touched closely the front of the booth, bothering my toes), so I returned and re-purchased a size 8 1/2 Wide.
I will also be putting in orthopaedic insoles and I got them in Wide Width.

What sold me the most is the solid quality of the soles, the quality of the fabrics, the waterproof feature, and the cuteness, overall. 💜! They look like they're going to last forever.

I had my eye on these boots from the time I first saw them, at $62/pair before tax. The price kept going up, even up to $75/pair before tax, at some point. Then back down again and fluctuating.
I kept checking and got them the day they went on sale for $40 before tax. The best $40+ ever spent on shoes!"
"Just Received, May Need to Up A 1/2 Size",8 Wide,Black2,4.0,"Just received, ordered an 8W, and normally I have no problems with shoes fitting me - but, I could keep and deal with my big toe hitting the front, but may have to return for an 8.5. Other than that, they seem super comfy, I like how you can slip on, no zipper to fuss with, just laces. The soles seem decent, we shall see when we test them on ice. If I choose to return, I will update this review."
Very comfortable,7,Black5,5.0,"I was nervous about ordering boots from the internet, I am very picky, but these did not disappoint. I wear a 7 and ordered a 7 , they fit great, although I thought the fur went all the way into the boot, it does not. But it is polar fleece and therefore still very warm, and surprisingly comfortable. I love wearing them , definitely gonna purchase again."
very cute,7.5 Wide,Gray-cam,4.0,"This is so cute, the inside feels cozy. I bought the 7 wide. Unfortunately, it is just a tad too tight with (regular thickness) socks on. I missed the window to return it and exchange for a different size. I'm going to try to stretch it out with a shoe horn. If you have very wide feet like me, I'd suggest getting a half size up. I haven't worn it outside since we haven't had snow like that yet, so I can't speak about the water resistance level. If I can't get it to stretch, I'll have to donate it."
WARM!,8.5 Wide,Black-cam,5.0,"I got these in a size too large for myself, so i gave them to my daughter and got myself the right size. Wide width feet are safe in your regular size! My ankles do get tired if driving a long time while wearing them, but I have large calves and no slope to my Achilles, so it's nothing new. Love these and so does she!"
"Good value, good looks",8 Wide,Black2,4.0,"The boots are a good height and a bit rustic looking but they ARE for bad weather. The faux fur seems thick enough and the soles have good texture and will probably provide the kind of traction I need to prevent falls. (I’m a senior). Also they come in shoe widths to allow for bunions.

Not used for snow yet but if I see problems, will update."
Loving these boots!,10.5,Black3,5.0,"There is enough room for my orthotic inserts and the furry insert on top of them. I wasn’t sure about the laces not going up to the top but I think that is what makes these so comfortable. I’ve had good traction in the snow, even where it is covering ice. I’m wearing them with footies until I can find acceptable boot socks and my feet stay warm."
Really good boots!,7,Black5,5.0,"These fit well, look nice and they keep my feet warm! I used them the other day standing in 6 inches of snow and about 15 degrees all day. My feet stayed warm and dry! They also arrived super fast!!"
Very Comfy,7.5 Wide,Black1,5.0,I bought this shoes for my mom cause it’s snowing in Vermont an she mention it’s the best snow shoes ! Very comfortable and never slippery ! Highly recommend if your going on a day to day job in snow.
Fully lined,6.5,Black2,5.0,"They've held up to the rain, mud and snow so far. I work in a detail shop so the floor is always covered in water and my feet stay dry and warm unless the water comes over the top of the boots."
Adorable!,8,White3,5.0,"I’ve ordered 2 pair from Nordstroms, 2 from Zappos and 1 from Lands End. None of them fit as well or looked as cute as this pair! I have feet that run a bit narrower than a medium width. With socks on, these are perfect. I ordered my normal length. Can’t wait for it to snow!"
Absolutely love these,9 Wide,Gray-cam,5.0,Other than the fact that they did not actually tape the shoebox closed I’m glad the boots made it without the box being opened because it was not taped closed at all but the boots are absolutely amazing. Super soft fit very well.
Super warm!,8.5,Black2,5.0,"I love these boots, the interior is so soft and warm, I can have my feet buried in the snow and not fell cold at all. I am an 8 American but got them in a 8½ to use thicker socks and they feel perfect. 100% recommend"
"Super cute, keep feet dry, but wear extra socks!",7.5,Black2,4.0,"True to size and super cute yet do the job when hiking or in the snow! But they don’t have any arch support and the back of the upper heal can rub, even with socks on so I throw in some insoles and wear extra thick socks and an extra pair underneath and they’re great! Super affordable and again really cute 😍"
Great boots,7.5 Wide,Gray-cam,5.0,I bought them a half size too big so I can wear heavy socks. They are warm and comfortable.
Boots 🥾,8.5 Wide,Black2,5.0,"Very warm, exactly what I wanted. I should have bought a half size bigger just for socks. I can’t wear thick socks with them"
Love my new boots!!,10,Black2,5.0,"No snow yet in WI, but I am ready for winter! Boots arrived today and wore them around the house all afternoon very comfortable. I wear size 9.5 or 10 I ordered a 10, plenty of toe room, no pinching. Stylish looking too. My previous boots were zip up and it was a challenge to get pants tucked in and zipped. I wasn't sure I would like the tie up style, but they were great today tying up over the top of pants no issues at all!"
Just a bit bulkier than I expected,8,White5,4.0,"Pros: Overall seems solid, very nice soft warm material inside, you basically eant to keep touching it:). Looks great.

Cons:
- There is some excessive material inside over my toes, doesn’t seems to bother me much, but noticeable (feel wise).
- They look just a bit bigger and shorter than on pictures, more like ski boots, I hoped for a bit smaller.
- Tongue have openings 2.5-3 in from top, which from description was unexpected."
Keeps feet dry,8.5 Wide,Gray-cam,5.0,Very happy with my purchase. They fit perfectly and best part they keep your feet nice and dry. Great snow boots.
Size is perfect.,9.5,Black2,5.0,These boots fit well and look good. Can’t wait to try them in the snow.
Stylish,9.5,Black2,5.0,Warm on the inside and true to size.
So so,8,Gray-cam,4.0,While these boots fit perfectly and keep my feet warm. I am currently without a car so I am doing a lot of walking. There isn’t much cushion and none on the ball of my foot so I will be looking for a different pair
Good value,7.5,White2,5.0,Well made good price
Fits true to size. Warm. The grip is no slip.,8.5,White2,4.0,Priced nicely. Warm. Cleans up nice.
"Soft, comfy and affordable",7.5 Wide,Black1,5.0,I struggle finding boots I like for a decent price and I have to say I am very satisfied. They are beyond expectations. 7 1/2 wide are a little big but I am a 7 so it makes sense. The sole is extremely durable looking and traction is awesome. Style is still cute enough for a nice jacket. Not clunky at all. Light weight.
Great boots,9 Wide,White-1,5.0,I love my boots. Warm and cozy. Arrived on time. Very pleased 😀 Thank you
Slightly tight fit.,8 Wide,Black1,4.0,"Just received them. My size is 8W, these feels like they’d be more comfortable if I’d gone up half a size. Will update on how they hold up in cold and snowy weather later."
Taking them to a winter in Iceland,8 Wide,Brown,4.0,They seem perfect and comfortable. The real test is when we arrive for a November in Iceland. Will update if they suck
Perfect fit!,9 Wide,Black3,5.0,These are well-made with a lovely chunky sole sand BERY comfy cozy.
,6.5,Black2,5.0,Just liked
boots,8 Wide,Black3,5.0,Love them warm and comfortable
Very comfy,9 Wide,Black6,5.0,This boot look so good and feels great !
Keep buying from your company,8.5,Black1,5.0,Very warm
True to size,6,Black1,5.0,I purchased these for my daughter in law. They are super nice and very warm.
Warmth and waterproof,7.5,White2,5.0,I live in the snow and it's important to keep my feet warm in the winter I have not yet got to try them in the cold but I have tried them on they're very comfortable and appear to be waterproof I won't be able to let you know until I get snow but so far they look amazing they're beautiful they're very comfortable
"It arrived so fast, I was surprised",9.5,White2,4.0,"I love them!! They fit perfectly and it looks and feels like it will keep my feet warm, I'll let you know in another review about that (not quite winter yet)😜"
3.5 stars by a Minnesotan,9,Black1,4.0,"Since there are no half stars, I'll give this a 4 star rating. I'll start with the things I don't like and move to what I do like. Also, I would like to mention that I don't like reviewing items like this until I've had proper time to really form an opinion and see what normal use will do to it, but since we're in the heart of winter now, I feel I should review sooner than I care to for those that it might help in making buying decisions.

What I don't like:
They're not as attractive in real life as in the photos, but honestly, that's a minor complaint. I bought a half size larger than I usually wear thinking I'd need to do that so that thick wool socks would work, but it turns out I didn't need to do this and they're a little too big with most of my socks (but not my *very* thick socks, so I guess that's acceptable). They're not very comfortable. My right foot in particular tends to hurt after walking in these for long.

What I do like:
These are waterproof. Some reviews have said they're not, but they are. I've walked through varying amounts of snow, from a dusting to nearly knee deep, and except where snow managed to get in through the top, which you can't really stop from happening if it's deep enough, there's been no problem there, and also through slush and water puddles from melted snow, and these boots keep my feet warm and dry.

I have not slipped on ice at all. I have crunched over lumps and shards of ice and had no problems. These boots seem to have good traction.

I haven't had these long enough to comment on their durability, but so far they seem to be holding up fine. I don't use these for really extended periods of time and usually just to walk about a mile 5 days a week or so, so if they aren't going to hold up over a longer amount of time, I don't know yet.

Though they leave something to be desired for comfort, they're good snow boots and as a Minnesotan that deals with harsh winter conditions, I still highly recommend these boots."
Very warm and beautiful,8,Brown,5.0,Great for snow and ice
Great boots,9.5,Black5,5.0,"I loved it! It fits perfectly although it could be just a little bit bigger, but it's good. My size is 9 but I ordered a 9.5. It seems very good quality and waterproof."
The fit was perfect just what we asked for,8.5,Black2,4.0,Haven't worn them yet I'll let you know
"Great warmth, true sizing. Fashion friendly for the east coast.",8,Black3,5.0,My first winter in 22 years in snow.
Excelente,7.5,Black2,5.0,Rapido el envio lo utilizo para trabajar
Warm soft winter boots,7.5 Wide,Black2,5.0,These are warm winter boots with soft inner area. I have not used yet but tried them on and now I am ready for the snow.
Beautiful boots and true to size,6.5,White3,5.0,I like the looks...
7 1/2,7.5 Wide,Black3,3.0,I wear a 61/2 so I ordered a 7 1/2 and still my toes are touching the end
Nice Boot,9,White3,4.0,"This is a nice all around boot. I get a lot of comments when I wear these boots. People say they are really cute and ask me where I got them. I have not submerged them in water but I have been outside in wet environments and they do okay. They are comfortable as far as the fit feels, the size fits true. I wear an 8.5 and 9 in tennis shoes and I purchased the size 9 boot, fits great. They are not the warmest boots, so if it is really cold outside and you know you will be outside for an extended period of time make sure you use a warmer boot. Otherwise, nice overall boot!"
Super soft and warm,8,Black1,4.0,"These boots have good grip, and are super soft with the lining throughout the entire boot. They keep my toes nice and warm, the only thing I think that could make these better is if had sturdier lacing at the top/ calf height like the little metal hooks to keep is snug even at the calf vs. loose."
Bonitas,6,Black2,4.0,No son tan cálidas como dicen
Not cold feet,6.5,White3,5.0,My god this is a macing for snow and they are sooooo pretty I went on vacation to the snow and this boot were the best choice I made!!totally recommend
Had to get half size larger than she normally wears.,8.5 Wide,Black2,4.0,Wife wears an 8 in pretty much any other shoe. That's what we ordered first they were a little tight so we got 8.5 fit perfect. Came quick a day early I believe and that was right before Christmas so that's pretty good. Wife likes them they're warm and comfortable. Get yourself some water proofing spray and they stay dry.
Excelente,7.5,Black3,5.0,Las recomiendo buen precio y el producto es de calidad ..
Perfect!,7.5 Wide,Brown,5.0,These boots are so comfy and easy to get on and off. I wear a 7.5 wide width and these went on easy! I had carpal tunnel surgery so I still struggle with getting shoes on and off. These I can push my feet in and not struggle trying to pull them on or off. The laces are adjustable so you can wear them with your pants inside the boot or pants to go over the boot. The other nice part is they are fit perfect around the top of your calf without any gaps. They keep your feet warm. Haven't had snow or ice yet to try but there's a lot of traction on the bottom and the sole is sturdy. Definitely keeping these on my favorite winter boots list!
Wife friendly,8.5,Black3,4.0,"Got a pair for my wife at Christmas. They are great for many activities where fluid submersions like mud and water are not much of an issue. Not really for hiking and we knew that but she does short flatter day hikes and stays very warm. And I mean warm.
She has a high arch which is problematic when buying shoes but for shorter practical distances she has no problem.
They are also stylish and go well with her jeans and legging pants."
Gorgeous and warm,8.5,White3,5.0,"These boots are awesome! I wore them for the first time the other morning when it was 32 degrees, wind chill 23. Along with a pair of wool lined socks, my feet stayed so warm. I walked for an hour and they never got cold. They also didn't hurt my feet or legs by walking a lot in them. They're super comfortable.

I bought a size larger than what I usually wear in order to be able to wear thick socks, and they fit very well. The laces are long so they're easy to double knot.

There's a deep, thick tread on the bottom to prevent slipping on snow and ice, necessary if you live anywhere with snow and ice. They go almost half way up my thigh, keeping part of my legs warm too. I got the white and they're beautiful.

I'll be getting a lot of use out of these this winter."
Perfect snow boots!,9 Wide,Gray-cam,5.0,I purchased these after moving to Wyoming and realizing that I'd need some. I'm regularly an 8.5 but I got a 9 as I planned on wearing thick socks with them. That gave me enough room for my socks without making it uncomfortable. They have a snug fit that is just right. The inner lining keeps my feet warm all day and the outer layer keep my feet dry. They're very stylish and have earned me tons of compliments. The grips on the bottom have worked well to keep me from slipping and sliding in snow and on ice. Would 100% buy again.
Winter Boots,9 Wide,Black2,4.0,I purchased a pair of these boots in black. They have good traction in snow and are waterproof. The 9 wide fits fine. Support is but average. I do use inserts. They are warm. I wish they were a bit higher. I plan to purchase another pair before the winter season is over as these are very comfortable. .Note: They are made in China.
Keeps your feet warm and dry,8.5,Gray-cam,4.0,"I bought these boots because I do a lot of winter hiking. they did pretty decent on their first 6 miles hike. The grip is not as good as I was expecting going up or down hill but were decent, crossed couple water areas and high snow and my feet stayed dry and warm so that was great but I did noticed although the inside feels soft and warm the soles are not very thick and my feet were a little sore after 6 mil but nothing a pair of insoles can’t fix. Overall I’m pleased with them."
KEEPS UR FEET WARM and dry,9 Wide,White2,5.0,"I wore this to mammoth and i was jumping into snow,puddles ect. They never got wet on the inside. the foux fur is really soft but it changes to a fleece type of fur where your foot is. The boots are medium height."
"Runs large, nice & warm",9,Gray-cam,4.0,"The footbed is too big with no ability to tighten it with the laces, I'm 8.5 & always a 9 in boots. 9 was too big even with thick winter socks. Just needed a quick work boot but I should've known for this price. Other than that they're still great warm winter boots, I'll be using them as winter garden boots instead. Just not great for working or walking all day"
"Great for the snow, just a little rough",7.5 Wide,Black2,4.0,"Great for the snow, really covering, no leaks anywhere. But they are just a little rough when walking, at least for me, I'm 5'2"". For one trip is fine, not if you want to keep them to wear again. And and buy one or two larger size if you are going to use thick socks."
Sure footing!,8 Wide,Black2,4.0,"The tread on these boots is as good or better than it appears in photos. They are warm, comfy and I've worn them in icy conditions (deck stairs, frozen slush). I don't know if I'd want to walk miles in them. But they are perfect for confidently walking the dog in the yard in icy conditions."
Good Purchase,7,Brown,4.0,"I love these boots, they're super cute! I'm a ski racer and was looking for something not too expensive, but comfortable with good grip on the bottom. The main thing I was looking for was a boot with comfortable soles, because after a day of racing and having my feet in ski boots, wearing a good pair of snow boots is all I want. They are easy to slip on, but the inside soles aren't as comfortable as I'd like, but still better than the hard ski boot! I usually wear a size 6.5, and i got the size 7. With thick socks, there is still a little room in them , but not an uncomfortable amount. I really like the bottom of the shoes, they have good ""cleats"" that make it easy to walk in the snow/ice without slipping like my old boots did. I've only had them for a day but so far they've been great, and they are waterproof so far!"
"Easy to put on, comfy, and warm",8.5 Wide,Black2,5.0,"I wear a size 7.5 in women’s but because I have a chunky foot sometimes I need to size up. Bought these in an 8, but they were a bit big I could’ve gone with my normal size. Still comfy though since I used thick socks. They were also easy to put on. I had purchased a different pair and could barely get my foot in through the opening because it was so narrow. These open up but the tongue is secure with elastic so it’s easy to tie up"
Wide is definitely not wide,9 Wide,Black1,4.0,"I have wide feet, so when I saw the 9 wide I was so excited. When I got the boots I was so happy. They're gorgeous! When I put them on I was a little disappointed and confused. They don't fit like a wide. They are actually very snug. What's wide is the tops by the calf area which I love. I hope the foot area will stretch cause I love these boots."
Good boots.,8 Wide,Gray-cam,4.0,"I like these boots. They're fit my wide feet well. It hasn't snowed yet, so I don't know if they're really water resistant. I hope they are. It's hard for me to find comfortable boots because of my wide and flat feet. These feel and fit really well."
Cute boot. Wish there was more support.,8.5 Wide,White2,4.0,"My feet have stayed nice and warm, but they are a little floppy."
Warm,8.5 Wide,White2,4.0,"I love these, I wear 8 1/2 - 9, ordered 9 and they fit nicely with my wool socks. It snowed about 8 inches so far and I was outside for about an hour and my toes were just a bit cold but not freezing. I think I am about to love these! They are very comfy too"
Cute and warm!,8 Wide,Brown,5.0,"They are super warm and the fur lining goes all the way to my toes. The tread is deep and sort of spiky so it looks like they will grip well. I ordered wide so there is plenty of room for my toes. I was able to add my orthotic insoles. They felt comfortable already, but I have plantar fascitis so I wanted more support just in case. The tongue area is thick and soft and is connected to the boot with material, but it expands enough to slip my foot in easily. The other brand I tried the material did not expand enough and it was not as easy to put my foot in. The pink color is very light pink. Cute but I would have liked it a bit darker. I then ordered the back pair and like that color better."
Functional boots,8,Gray-cam,4.0,"Functional boots for rain, the tread has prevented several potential slips for me. I added arch supports to the pair I received so I can walk for hours in them. Need to wear either thermal or heavy socks if you want your feet to be warm. Have not used in snow yet."
Toasty and Dry!,8.5,Black1,5.0,I walk in snow and ice daily in a very cold winter zone and these boots held up beautifully all winter long with no leaks! They are also pretty cute to boot! 🥾
"Nice,",10.5,Black1,4.0,"This boot runs tru to size. I ordered a 10.5, but should have ordered a 10. I wanted room for thick socks, but already built in."
Well made and comfortable,9,Black3,4.0,I didn’t like the ugly company logo name in big bright white letters across the back of shoes otherwise i would’ve kept them
Xtra wide Foot,8.5 Wide,Black2,5.0,I have a hard time finding any boot or shoe to fit my Xtra wide feet. Podiatrist said I needed to have a E or EE size. I ordered by normal size 8.5 in Xtra wide. They fit perfectly and give me the doe area room I need. The size on the box says 8.5MM. Also like that they tie lower on boot but leave me room around top to feel comfortable and allow for tucking pants if needed. The lining is soft and comfortable.
"Not real cute, but worked for what I bought them for…",7.5,Black1,4.0,"Comfortable warm kept my feet dry in the snow. I even used them on my MTB and the grip was very good. Climbed up some wet rocks and they gripped well. They aren’t real cute, but I was looking for warm dry comfy boots and these did the job."
Does well but..,10,White2,4.0,Comcortable. And Does well in the snow with keeping my dry. But doesn't do much to keep my feet warm. My toes get frozen everytime I wear these. Even with warm socks.
Comfortable and warm. Good value!,9 Wide,Gray-cam,5.0,"My shoe size hovers between 8-1/2 and 9, medium width. I chose Wide because of my bulky wool socks and they fit well. Plenty of room but still fit snugly. I’ve not had a chance to wear these in snow or in icy conditions, yet, but temps dropped to 20’sF and my feet stayed comfy and cozy. They’re low enough to wear boot cut or straight leg jeans over them and high enough to tuck skinny jeans in them. Good value and they’re cute!"
They are not true to size,9 Wide,Black2,4.0,"I really needed them for some major snow we got and ice. When I put them on they were to tight but I had no choice I had to wear them in the snow, I didn’t have any other boots."
Just what I needed,7.5,Black1,5.0,"I needed a pair of warm, waterproof boots for walking the dog in the rainy pacific northwest. I usually wear a 7.5 in shoes so that's what size I ordered. They were the right size for my feet. I did put an insole in them just for comfort. I've worn them in driving rain and my feet stay dry. During our recent ice event, I strapped on my YakTrax to take the dog out and my feet stayed warm. I am happy with the boots and they do exactly what I need them to do."
"These are SUPER cute, but…",10,Black3,4.0,"These are super cute, but they DO sag in the center of the boot a bit. : / (even when tied tightly)."
Awesome boots,7,Brown,5.0,"I got these for my daughter for Christmas and they were a home run with her!
After a few days of her wearing them, in the snow, and cold.
I asked her what she thought of them.
She said that they were the most comfortable boots that she has ever worn, and that they supported her foot fantastically and were super cute, and very warm.
So I am super happy with this purchase, because she is super picky about her shoes. 😊"
Comfortable and warm but a little heavy.,9.5,Black2,4.0,Very warm and comfortable.
Really nice boots,8.5 Wide,Black1,5.0,"I usually wear an 8 to 8 and 1/2 boot. I ordered 8 and 1/2 wide so that I would be sure to have room for heavy socks. They fit beautifully with room for the socks. Very soft faux fur lining. Very comfortable, not bulky, fairly lightweight. Very happy with the styling that I chose. I just received the boots today so I haven't had a chance to wear them out in bad weather yet to test warmth and weatherproof but one lady did show a video that showed how waterproof they were. I really like the boots and I would recommend them."
Super durable and cute,9.5,Black2,5.0,"I'm not used to the snowy climate, but I moved to a place thats covered in snow literally all winter!! I searched online, for what felt like days, til I found these. I've gotten SO many compliments-from men AND women- about there boots. I absolutely adore them! Comfy, warm, stylish, and a little wiggle room for thick socks... The fur goes all the way through these boots, so I bought a half size above my norm. They are perfect, and I adore them! Would definitely recommend"
"Nice, but needs new insole",8.5,White2,4.0,"They’re the perfect 8.5! They are terribly uncomfortable to walk in. Throw in a better insole and it would be a 5 star.

I Shelled out a little bit more for a new insole and they’re just fine."
Best winter boots ever,8.5 Wide,Gray-cam,5.0,"These are the best winter boots I've ever owned. They are easy to get on, comfortable and very warm. The dog park I take my dog to has some steep hills and before having these boots, I had to hold onto the fence to prevent falling. No more - the tread on the bottom grips even packed down snow, no more fear of falling. I have purchased a second pair for my daughter."
The quality,6.5,White2,5.0,They are contable and true to size. Love them
Comfortable boot that is cute as well.,7,White3,4.0,"Have not been able to try out since we don't have snow yet. After reading other reviews, I ordered a half size up from my regular size and fits good. Like the treads."
Botas,8 Wide,Black1,4.0,"Muy cómodas pero no me duraron nada, yá se rompieron por debajo...🥺"
Warm☺️,9.5,Black2,4.0,Nice on. Comfortable. Wish they laced up higher on the boot. But they're a keeper.
